,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
206,206,help cs februari newslett draft idea proofread rock ,"for helping me with CS February newsletter (drafting, ideas, and proofreading) you rock! ",11.33,iviangita#3204,2022-03-06T23:00:00.000Z,['work']
207,207,dedic curios tec case studi ,for the dedication and curiosity in the TEC Case Studies ,11.33,anna-marie#8824,2022-04-03T22:00:00.000Z,
208,208,help pend payment also support work thiago’ buddi ✨ ,for helping with my pending payments but also supporting my work as Thiago’s buddy! ✨ ,9.67,freshelle#9882,2022-04-03T22:00:00.000Z,"['work', 'general']"
209,209,anoth week onboard work creat bridg web ,for another week of onboarding works and creating bridges in web3 ,6.33,T!b!#2584,2022-04-03T22:00:00.000Z,['work']
210,210, griff 💜 💜 yineisi mota warmth love alway ,"@griff (💜, 💜) @Yineisy Mota for your warmth and love now and always ",5.33,liviade#1387,2022-03-08T23:00:00.000Z,
211,211,guid youtub upload ,for guiding me through the youtube uploads. ,5.33,iviangita#3204,2022-03-20T23:00:00.000Z,
212,212,welcom alway dedic cs well 🙌 ,for being so welcoming always and her dedication to CS as well 🙌 ,3.0,mafer_cordovas#1034,2022-03-22T23:00:00.000Z,
213,213, griff 💜 💜 yineisi mota warmth love alway ,"@griff (💜, 💜) @Yineisy Mota for your warmth and love now and always ",3.0,thiago.rossi#1714,2022-03-08T23:00:00.000Z,
214,214, griff 💜 💜 prophet margin irenioskamoska dani do join ama inclus cultur public good today ✨ ,"@griff (💜, 💜) @The Prophet Margin @irenioskamoska@Dani Dos for joining our AMA on ""Inclusion Culture in Public Goods"" today! ✨ ",3.67,irenioskamoska#7519,2022-03-17T23:00:00.000Z,['attendance']
215,215, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3.0,AnnAnna#4694,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
216,216,jump common stack support develop ,for jumping into the Commons Stack to support development! ,6.0,pacobacpac#5457,2022-04-03T22:00:00.000Z,['general']
217,217,amaz housem cryptospac ever ,and for being the most amazing housemates in the cryptospace ever ,0.43,mafer_cordovas#1034,2022-03-16T23:00:00.000Z,
218,218,jump ts dashboard call help us today ,for jumping in our TS Dashboard call and helping us today! ,6.0,dan13ram#7722,2022-03-27T22:00:00.000Z,['work']
219,219,help coordin common prize promot 🙂 ,for helping me with the coordination for the Commons Prize promotion 🙂 ,20.11,iviangita#3204,2022-04-03T22:00:00.000Z,['work']
220,220,happi money stori ,and for the Happy Money Story ,1.67,iviangita#3204,2022-03-06T23:00:00.000Z,
221,221,on help new task ,for having with me 1on1s and helping me with my new tasks ,4.33,iviangita#3204,2022-03-20T23:00:00.000Z,"['discussion', 'work']"
222,222,amaz flatmat crypto space ever 😀 ,and for being the most amazing flatmates in the crypto space ever 😀 ,2.03,mafer_cordovas#1034,2022-03-16T23:00:00.000Z,
223,223,share great pic eth rio trust seed member mention common stack ,for sharing great pics from ETH Rio with other Trusted Seed members and mentioning Commons Stack! ,3.67,mafer_cordovas#1034,2022-03-14T23:00:00.000Z,['share']
224,224,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,thiago.rossi#1714,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
225,225,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,logonaut.eth#9437,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
226,226,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,2.33,shawn#7046,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
227,227,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,innov8tor3#3988,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
228,228, yineisi mota súper birthday 🥳 feliz cumpleaño rock ,"@Yineisy Mota for súper Birthday 🥳 feliz cumpleaños, you rock! ",2.33,Yineisy Mota#1449,2022-04-03T22:00:00.000Z,
229,229,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,AnnAnna#4694,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
230,230,cool neighbor boss aka rio roommat ,for being such a cool neighbor and boss to (aka my Rio roommate) ,3.67,hanners717#2022,2022-03-14T23:00:00.000Z,
231,231,cool neighbor boss aka rio roommat ,for being such a cool neighbor and boss to (aka my Rio roommate) ,4.33,divine_comedian#5493,2022-03-14T23:00:00.000Z,
232,232,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,K.#9150,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
233,233, david pleas dyor yineisi mota gregori rnd mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,thiago.rossi#1714,2022-04-01T22:00:00.000Z,"['work', 'share', 'twitter']"
234,234, david pleas dyor yineisi mota gregori rnd mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,alexsotodigital#7208,2022-04-01T22:00:00.000Z,"['work', 'share', 'twitter']"
235,235, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,toraif#4775,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
236,236, griff 💜 💜 yineisi mota warmth love alway ,"@griff (💜, 💜) @Yineisy Mota for your warmth and love now and always ",2.33,mafer_cordovas#1034,2022-03-08T23:00:00.000Z,
237,237, yineisi mota mercedesrodsimfor mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,Rodricast#1415,2022-03-17T23:00:00.000Z,"['work', 'share', 'twitter']"
238,238, yineisi mota mercedesrodsimfor mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,2.33,shawn#7046,2022-03-17T23:00:00.000Z,"['work', 'share', 'twitter']"
239,239,fun birthday 🥳 ,for having such a fun birthday 🥳 ,1.67,mafer_cordovas#1034,2022-03-06T23:00:00.000Z,
240,240, yineisi mota mercedesrodsimfor mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,Ekeneodigwe#1502,2022-03-17T23:00:00.000Z,"['work', 'share', 'twitter']"
241,241, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,Ekeneodigwe#1502,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
242,242, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,GideonRo#3175,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
243,243, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,anna-marie#8824,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
244,244, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,logonaut.eth#9437,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
245,245, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.37,Rodricast#1415,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
246,246, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,Michel Bauwens#1511,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
247,247, yineisi mota mercedesrodsimfor mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,2.33,Yineisy Mota#1449,2022-03-17T23:00:00.000Z,"['work', 'share', 'twitter']"
248,248, david pleas dyor yineisi mota gregori rnd mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,Gregory | RND#1990,2022-04-01T22:00:00.000Z,"['work', 'share', 'twitter']"
249,249, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,MisterBoyfriend#7096,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
250,250, david pleas dyor yineisi mota gregori rnd mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.67,logonaut.eth#9437,2022-04-01T22:00:00.000Z,"['work', 'share', 'twitter']"
251,251,today twitter sync thank help content creation review ✨ ,for today's Twitter sync! Thanks for helping with content creation and review! ✨ ,1.67,iviangita#3204,2022-03-30T22:00:00.000Z,"['work', 'twitter']"
252,252, david pleas dyor yineisi mota gregori rnd mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.37,innov8tor3#3988,2022-04-01T22:00:00.000Z,"['work', 'share', 'twitter']"
253,253,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,mafer_cordovas#1034,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
254,254, yineisi mota mercedesrodsimfor mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,mercedesrodsim#1317,2022-03-17T23:00:00.000Z,"['work', 'share', 'twitter']"
255,255, yineisi mota mercedesrodsimfor mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,AmwFund#0979,2022-03-17T23:00:00.000Z,"['work', 'share', 'twitter']"
256,256, yineisi mota mercedesrodsimfor mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0.7,ClaraZi#5313,2022-03-17T23:00:00.000Z,"['work', 'share', 'twitter']"
257,257, david pleas dyor yineisi mota gregori rnd mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,AmwFund#0979,2022-04-01T22:00:00.000Z,"['work', 'share', 'twitter']"
258,258, yineisi mota nonstop support come birthday parti ,@Yineisy Mota for your nonstop support and coming to my birthday party! ,8.0,Yineisy Mota#1449,2022-03-06T23:00:00.000Z,['general']
259,259,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,ALOYSIOUS#3049,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
260,260, david pleas dyor yineisi mota gregori rnd mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0.7,mafer_cordovas#1034,2022-04-01T22:00:00.000Z,"['work', 'share', 'twitter']"
261,261, yineisi mota mercedesrodsimfor mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0.7,mafer_cordovas#1034,2022-03-17T23:00:00.000Z,"['work', 'share', 'twitter']"
262,262, yineisi mota mercedesrodsimfor mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,Kojak#5611,2022-03-17T23:00:00.000Z,"['work', 'share', 'twitter']"
263,263, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,usamaahmed#9991,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
264,264, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,bustavo#8085,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
265,265,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,Rohekbenitez#8753,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
266,266, david pleas dyor yineisi mota gregori rnd mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,David (please DYOR...)#4116,2022-04-01T22:00:00.000Z,"['work', 'share', 'twitter']"
267,267, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,KZ Flyer#0926,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
268,268,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,ClaraZi#5313,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
269,269, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0.7,mafer_cordovas#1034,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
270,270, david pleas dyor yineisi mota gregori rnd mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0.7,mercedesrodsim#1317,2022-04-01T22:00:00.000Z,"['work', 'share', 'twitter']"
271,271,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,AmwFund#0979,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
272,272, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0.7,mercedesrodsim#1317,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
273,273, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,T Wells#9070,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
274,274, griff 💜 💜 prophet margin irenioskamoska dani do join ama inclus cultur public good today ✨ ,"@griff (💜, 💜) @The Prophet Margin @irenioskamoska@Dani Dos for joining our AMA on ""Inclusion Culture in Public Goods"" today! ✨ ",5.0,Dani Dos#6791,2022-03-17T23:00:00.000Z,['attendance']
275,275, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,ygg_anderson#4998,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
276,276,mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,MS#4235,2022-03-14T23:00:00.000Z,"['work', 'share', 'twitter']"
277,0,build deploy new trust seed minter contract ,for building and deploying the new Trusted Seed Minter contract! ,42.0,paxthemax#4454,2022-04-12T22:00:00.000Z,
278,1,provid guidanc thought propos chang trust seed share time us ,for providing their guidance and thoughts about the proposed changes in the Trusted Seed and sharing their time with us ,28.0,mZ#3472,2022-04-17T22:00:00.000Z,['share']
279,2, max semenchuk head amsterdam repres us trust seed ,@Max Semenchuk for heading to Amsterdam and representing us and the Trusted Seed! ,9.01,Tamarandom#9361,2022-04-17T22:00:00.000Z,
280,3, max semenchuk head amsterdam repres us trust seed ,@Max Semenchuk    for heading to Amsterdam and representing us and the Trusted Seed! ,9.01,Tamarandom#9361,2022-04-17T22:00:00.000Z,
281,4,repres common stack amsterdam present common common prize ,for representing the Commons Stack in Amsterdam with a presentation about the Commons and the Commons Prize! ,24.88,Tamarandom#9361,2022-04-17T22:00:00.000Z,
282,5,ongo talk daoist repres common stack ,for her ongoing talk at The DAOist and for representing Commons Stack ,21.84,Tamarandom#9361,2022-04-17T22:00:00.000Z,
283,6,repres us amsterdam ,for representing us in Amsterdam! ,17.2,Tamarandom#9361,2022-04-17T22:00:00.000Z,
284,7,speak refi unconfer proud ,for speaking at the ReFi Unconference!!! I'm so proud of you! ,16.0,mafer_cordovas#1034,2022-05-05T22:00:00.000Z,
285,8, max semenchuk head amsterdam repres us trust seed ,@Max Semenchuk    for heading to Amsterdam and representing us and the Trusted Seed! ,14.3,Max Semenchuk#3335,2022-04-17T22:00:00.000Z,
286,9, max semenchuk repres common stack amsterdam well ,@Max Semenchuk for representing Commons Stack in Amsterdam as well ,7.07,Max Semenchuk#3335,2022-04-17T22:00:00.000Z,
287,10, max semenchuk head amsterdam repres us trust seed ,@Max Semenchuk for heading to Amsterdam and representing us and the Trusted Seed! ,6.37,Max Semenchuk#3335,2022-04-17T22:00:00.000Z,
288,11, griff 💜 💜 moder co host respect common prize ama twitter space ,"@griff (💜, 💜) for being the moderator and co-host respectively during our Commons Prize AMA Twitter space! ",19.33,Tamarandom#9361,2022-04-17T22:00:00.000Z,"['lead', 'twitter']"
289,12,ad support new trust seed minter contract dashboard subgraph despit lot commit ,"for adding support for the new Trusted Seed Minter contract to the dashboard subgraph, despite having lots of other commitments! ",15.67,fabiomendes#4802,2022-04-12T22:00:00.000Z,['general']
290,13,join trust seed loung call share question idea around contribut commun thank much insight recommend appreci feedback ,for joining our Trusted Seed Lounge call and sharing your questions and ideas around contributing to the community. Thank you so much for all the insights and recommendations we appreciate your feedback! ,8.33,r33pich33p#6906,2022-04-18T22:00:00.000Z,"['attendance', 'discussion', 'share']"
291,14,host common prize ama twitter space support activ ,for hosting Commons Prize AMA Twitter space and supporting the activity! ,15.0,iviangita#3204,2022-04-17T22:00:00.000Z,"['lead', 'twitter', 'general']"
292,15, griff 💜 💜 moder co host respect common prize ama twitter space ,"@griff (💜, 💜) for being the moderator and co-host respectively during our Commons Prize AMA Twitter space! ",9.67,"Griff (💜,💜)#8888",2022-04-17T22:00:00.000Z,"['lead', 'twitter']"
293,16,join trust seed loung call share question idea around contribut commun thank much insight recommend appreci feedback ,for joining our Trusted Seed Lounge call and sharing your questions and ideas around contributing to the community. Thank you so much for all the insights and recommendations we appreciate your feedback! ,9.67,DarylEdwards.eth#0996,2022-04-18T22:00:00.000Z,"['attendance', 'discussion', 'share']"
294,17, felip duart inga organ thedaoist put awesom even invit us last minut ,@Felipe Duarte Inga and all the other organizers of TheDAOist for putting on an awesome even and inviting us at the last minute ,12.33,Felipe Duarte#8100,2022-04-17T22:00:00.000Z,
295,18, felip duart inga organ thedaoist put awesom even invit us last minut ,@Felipe Duarte Inga and all the other organizers of TheDAOist for putting on an awesome even and inviting us at the last minute ,10.33,Guil#8063,2022-04-17T22:00:00.000Z,
296,19, vitor marthend configur tokenlog commonspr fast made day 🤸🏽‍♀️ ,@Vitor Marthendal for configuring the tokenlog for the CommonsPrize so so so fast! You made my day! 🤸🏽‍♀️ ,13.0,Vitor Marthendal#5733,2022-05-05T22:00:00.000Z,
297,20,review help issu homepag profil pic core team advisor section ,for reviewing and helping me with the issue on our homepage on the profile pics for the core team and advisors sections! ,10.33,pacobacpac#5457,2022-04-10T22:00:00.000Z,['work']
298,21, max semenchuk head amsterdam repres us trust seed ,@Max Semenchuk for heading to Amsterdam and representing us and the Trusted Seed! ,4.98,mafer_cordovas#1034,2022-04-17T22:00:00.000Z,
299,22, max semenchuk head amsterdam repres us trust seed ,@Max Semenchuk    for heading to Amsterdam and representing us and the Trusted Seed! ,3.81,mafer_cordovas#1034,2022-04-17T22:00:00.000Z,
300,23, max semenchuk head amsterdam repres us trust seed ,@Max Semenchuk for heading to Amsterdam and representing us and the Trusted Seed! ,14.5,kristofer#1475,2022-04-17T22:00:00.000Z,
301,24, max semenchuk repres common stack amsterdam well ,@Max Semenchuk for representing Commons Stack in Amsterdam as well ,13.7,mafer_cordovas#1034,2022-04-17T22:00:00.000Z,
302,25,continu support regen partnership ,for her continuous support with the Regen partnership ,7.33,JessicaZartler#2263,2022-04-17T22:00:00.000Z,['general']
303,26,help wiki issu 🙏 ✨ definit play github anymor 😅 ,for helping me with the Wiki issue!! 🙏 ✨  I definitely won't play in GitHub anymore 😅 ,8.0,mafer_cordovas#1034,2022-04-06T22:00:00.000Z,['work']
304,27,help wiki issu 🙏 ✨ definit play github anymor 😅 ,for helping me with the Wiki issue!! 🙏 ✨  I definitely won't play in GitHub anymore 😅 ,8.0,"sem(🌸,🐝)#0161",2022-04-06T22:00:00.000Z,['work']
305,28,weekli sync guid throughout common prize ,for having weekly syncs with me and guiding me throughout the commons prize. ,7.0,Tamarandom#9361,2022-04-17T22:00:00.000Z,
306,29,creat great anim graphic trust seed dashboard ,for creating great animated graphics for the Trusted Seed Dashboard. ,8.0,dan13ram#7722,2022-04-12T22:00:00.000Z,
307,30,provid guidanc thought propos chang trust seed share time us ,for providing their guidance and thoughts about the proposed changes in the Trusted Seed and sharing their time with us ,8.67,JeffEmmett#7202,2022-04-17T22:00:00.000Z,['share']
308,31,meet discuss collabor partnership model gener magic common stack ,for meeting with me to discuss collaboration and partnership models between General Magic and Commons Stack. ,10.33,Tamarandom#9361,2022-05-05T22:00:00.000Z,['discussion']
309,32,present prais dorg team ,for presenting Praise to the dOrg team! ,9.0,kristofer#1475,2022-05-05T22:00:00.000Z,
